"SecondsIntoRound","lastAction","SecondsLastRoundAction","TotLandsX1","cmTotHitsR.X2","cmTotHitsL.X2","cmTotHitsM.X2","TotLandsX2","TotMissedX2","Crossl.X2","Kneel.X2","Elbowl.X2","Hookl.X2","Jabl.X2","Kickl.X2","upperl.X2","takedownl.X2","hammerl.X2","Cross2l.X2","Knee2l.X2","Elbow2l.X2","Hook2l.X2","Jab2l.X2","Kick2l.X2","upper2l.X2","takedown2l.X2","hammer2l.X2","Cross3l.X2","Knee3l.X2","Elbow3l.X2","Hook3l.X2","Jab3l.X2","Kick3l.X2","upper3l.X2","takedown3l.X2","hammer3l.X2","Crossm.X2","Kneem.X2","Elbowm.X2","Hookm.X2","Jabm.X2","Kickm.X2","upperm.X2","takedownm.X2","hammerm.X2","Cross2m.X2","Knee2m.X2","Elbow2m.X2","Hook2m.X2","Jab2m.X2","Kick2m.X2","upper2m.X2","takedown2m.X2","hammer2m.X2","Cross3m.X2","Knee3m.X2","Elbow3m.X2","Hook3m.X2","Jab3m.X2","Kick3m.X2","upper3m.X2","takedown3m.X2","hammer3m.X2","holdingX2","breaksHoldX2","caughtHoldX2","lostHoldX2","muayThaiKickX2","pushKickX2","totalHoldsX2","totalLostHoldsX2","totalCaughtHoldsX2","totalBreakOutHoldsX2","totalMuayThaiKicksX2","totalPushKicksX2"
101,100,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,2,15,2,5,0
102,101,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,15,2,5,0
103,102,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,2,15,2,5,0
104,103,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,15,2,15,2,5,0
105,104,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,2,15,2,5,0
106,105,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,3,15,2,5,0
107,106,1,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,3,15,2,5,1
109,107,2,0,2,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,15,2,5,1
111,109,2,1,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,15,2,5,1
112,111,1,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,3,16,2,5,1
113,112,1,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,18,3,17,2,5,1
114,113,1,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,19,3,18,2,5,1
115,114,1,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,3,19,2,5,1
116,115,1,0,3,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,21,3,20,2,5,1
117,116,1,2,5,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,22,3,21,2,5,1
118,117,1,2,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,23,3,22,2,5,1
119,118,1,0,7,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,24,3,23,2,5,1
120,119,1,2,9,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,25,3,24,2,5,1
